dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.000000,0.000012,0.001176,0.058824,2.941176,6.283160
0.020000,0.000000,4.000000,0.000059,0.003529,0.117647,2.941176,6.283177
0.020000,0.000083,4.000000,0.000165,0.007059,0.176471,2.941176,0.000030
0.020000,0.000271,4.000000,0.000353,0.011765,0.235294,2.941176,0.000097
0.020000,0.000565,4.000000,0.000647,0.017647,0.294118,2.941176,0.000202
0.020000,0.000989,4.000000,0.001071,0.024706,0.352941,2.941176,0.000353
0.020000,0.001565,4.000000,0.001647,0.032941,0.411765,2.941176,0.000559
0.020000,0.002318,4.000001,0.002400,0.042353,0.470588,2.941176,0.000828
0.020000,0.003271,4.000002,0.003353,0.052941,0.529412,2.941176,0.001169
0.020000,0.004447,4.000004,0.004529,0.064706,0.588235,2.941176,0.001590
0.020000,0.005871,4.000006,0.005953,0.077647,0.647059,2.941176,0.002099
0.020000,0.007565,4.000010,0.007647,0.091765,0.705882,2.941176,0.002706
0.020000,0.009553,4.000016,0.009635,0.107059,0.764706,2.941176,0.003420
0.020000,0.011859,4.000025,0.011941,0.123529,0.823529,2.941176,0.004248
0.020000,0.014506,4.000038,0.014588,0.141176,0.882353,2.941176,0.005201
0.020000,0.017518,4.000055,0.017600,0.160000,0.941176,2.941176,0.006286
0.020000,0.020918,4.000078,0.021000,0.180000,1.000000,2.941176,0.007514
0.020000,0.024718,4.000110,0.024800,0.200000,1.000000,0.000000,0.008890
0.020000,0.028917,4.000150,0.029000,0.220000,1.000000,0.000000,0.010413
0.020000,0.033517,4.000202,0.033600,0.240000,1.000000,-0.000000,0.012087
0.020000,0.038517,4.000267,0.038600,0.260000,1.000000,0.000000,0.013911
0.020000,0.043916,4.000347,0.044000,0.280000,1.000000,-0.000000,0.015887
0.020000,0.049715,4.000446,0.049800,0.300000,1.000000,0.000000,0.018017
0.020000,0.055914,4.000564,0.056000,0.320000,1.000000,0.000000,0.020302
0.020000,0.062513,4.000706,0.062600,0.340000,1.000000,0.000000,0.022744
0.020000,0.069511,4.000875,0.069600,0.360000,1.000000,-0.000000,0.025344
0.020000,0.076908,4.001072,0.077000,0.380000,1.000000,0.000000,0.028105
0.020000,0.084705,4.001303,0.084800,0.400000,1.000000,-0.000000,0.031028
0.020000,0.092900,4.001570,0.093000,0.420000,1.000000,0.000000,0.034115
0.020000,0.101495,4.001877,0.101600,0.440000,1.000000,0.000000,0.037369
0.020000,0.110488,4.002229,0.110600,0.460000,1.000000,0.000000,0.040792
0.020000,0.119879,4.002629,0.120000,0.480000,1.000000,-0.000000,0.044387
0.020000,0.129669,4.003082,0.129800,0.500000,1.000000,0.000000,0.048155
0.020000,0.139856,4.003594,0.140000,0.520000,1.000000,0.000000,0.052099
0.020000,0.150440,4.004167,0.150600,0.540000,1.000000,0.000000,0.056223
0.020000,0.161422,4.004809,0.161600,0.560000,1.000000,-0.000000,0.060529
0.020000,0.172799,4.005524,0.173000,0.580000,1.000000,0.000000,0.065020
0.020000,0.184572,4.006318,0.184800,0.600000,1.000000,0.000000,0.069698
0.020000,0.196741,4.007198,0.197000,0.620000,1.000000,0.000000,0.074568
0.020000,0.209303,4.008168,0.209600,0.640000,1.000000,0.000000,0.079631
0.020000,0.222259,4.009236,0.222600,0.660000,1.000000,0.000000,0.084892
0.020000,0.235608,4.010409,0.236000,0.680000,1.000000,0.000000,0.090354
0.020000,0.249348,4.011693,0.249800,0.700000,1.000000,0.000000,0.096020
0.020000,0.263479,4.013096,0.264000,0.720000,1.000000,-0.000000,0.101893
0.020000,0.277998,4.014625,0.278600,0.740000,1.000000,0.000000,0.107978
0.020000,0.292906,4.016288,0.293600,0.760000,1.000000,0.000000,0.114276
0.020000,0.308199,4.018094,0.309000,0.780000,1.000000,0.000000,0.120793
0.020000,0.323878,4.020051,0.324800,0.800000,1.000000,-0.000000,0.127532
0.020000,0.339939,4.022167,0.341000,0.820000,1.000000,0.000000,0.134496
0.020000,0.356381,4.024452,0.357600,0.840000,1.000000,0.000000,0.141688
0.020000,0.373190,4.026913,0.374588,0.858824,0.941176,-2.941176,0.149107
0.020000,0.390340,4.029557,0.391941,0.876471,0.882353,-2.941176,0.156747
0.020000,0.407806,4.032387,0.409635,0.892941,0.823529,-2.941176,0.164598
0.020000,0.425563,4.035410,0.427647,0.908235,0.764706,-2.941176,0.172655
0.020000,0.443583,4.038629,0.445953,0.922353,0.705882,-2.941176,0.180907
0.020000,0.461842,4.042049,0.464529,0.935294,0.647059,-2.941176,0.189346
0.020000,0.480314,4.045671,0.483353,0.947059,0.588235,-2.941176,0.197962
0.020000,0.498972,4.049499,0.502400,0.957647,0.529412,-2.941176,0.206747
0.020000,0.517792,4.053534,0.521647,0.967059,0.470588,-2.941176,0.215688
0.020000,0.536746,4.057777,0.541071,0.975294,0.411765,-2.941176,0.224776
0.020000,0.555809,4.062228,0.560647,0.982353,0.352941,-2.941176,0.233999
0.020000,0.574957,4.066887,0.580353,0.988235,0.294118,-2.941176,0.243344
0.020000,0.594162,4.071751,0.600165,0.992941,0.235294,-2.941176,0.252800
0.020000,0.613400,4.076819,0.620059,0.996471,0.176471,-2.941176,0.262352
0.020000,0.632645,4.082086,0.640012,0.998824,0.117647,-2.941176,0.271988
0.020000,0.651872,4.087549,0.660000,1.000000,0.058824,-2.941176,0.281694
0.020000,0.671056,4.093203,0.680000,1.000000,0.000000,-2.941176,0.291455
0.020000,0.690184,4.099043,0.700000,1.000000,0.000000,0.000000,0.301263
0.020000,0.709254,4.105072,0.720000,1.000000,0.000000,0.000000,0.311114
0.020000,0.728263,4.111288,0.740000,1.000000,0.000000,0.000000,0.321005
0.020000,0.747210,4.117693,0.760000,1.000000,0.000000,0.000000,0.330932
0.020000,0.766092,4.124285,0.780000,1.000000,0.000000,0.000000,0.340892
0.020000,0.784908,4.131066,0.800000,1.000000,0.000000,0.000000,0.350881
0.020000,0.803654,4.138034,0.820000,1.000000,0.000000,0.000000,0.360894
0.020000,0.822330,4.145190,0.840000,1.000000,0.000000,0.000000,0.370929
0.020000,0.840933,4.152533,0.860000,1.000000,0.000000,0.000000,0.380981
0.020000,0.859461,4.160063,0.880000,1.000000,0.000000,0.000000,0.391047
0.020000,0.877913,4.167779,0.900000,1.000000,0.000000,0.000000,0.401121
0.020000,0.896286,4.175681,0.920000,1.000000,0.000000,0.000000,0.411201
0.020000,0.914578,4.183767,0.940000,1.000000,0.000000,0.000000,0.421281
0.020000,0.932788,4.192038,0.960000,1.000000,0.000000,0.000000,0.431358
0.020000,0.950913,4.200491,0.980000,1.000000,0.000000,0.000000,0.441428
0.020000,0.968953,4.209127,1.000000,1.000000,0.000000,0.000000,0.451485
0.020000,0.986905,4.217943,1.020000,1.000000,0.000000,0.000000,0.461527
0.020000,1.004767,4.226939,1.040000,1.000000,0.000000,0.000000,0.471549
0.020000,1.022539,4.236113,1.060000,1.000000,0.000000,0.000000,0.481547
0.020000,1.040218,4.245464,1.080000,1.000000,0.000000,0.000000,0.491516
0.020000,1.057803,4.254991,1.100000,1.000000,0.000000,0.000000,0.501453
0.020000,1.075293,4.264692,1.120000,1.000000,0.000000,0.000000,0.511353
0.020000,1.092686,4.274565,1.140000,1.000000,0.000000,0.000000,0.521213
0.020000,1.109981,4.284609,1.160000,1.000000,0.000000,0.000000,0.531029
0.020000,1.127177,4.294821,1.180000,1.000000,0.000000,0.000000,0.540796
0.020000,1.144273,4.305201,1.200000,1.000000,0.000000,0.000000,0.550511
0.020000,1.161267,4.315745,1.220000,1.000000,0.000000,0.000000,0.560171
0.020000,1.178159,4.326453,1.240000,1.000000,0.000000,0.000000,0.569771
0.020000,1.194948,4.337322,1.260000,1.000000,0.000000,0.000000,0.579309
0.020000,1.211632,4.348351,1.280000,1.000000,0.000000,0.000000,0.588781
0.020000,1.228212,4.359536,1.300000,1.000000,0.000000,0.000000,0.598183
0.020000,1.244687,4.370875,1.320000,1.000000,0.000000,0.000000,0.607513
0.020000,1.261055,4.382368,1.340000,1.000000,0.000000,0.000000,0.616768
0.020000,1.277317,4.394011,1.360000,1.000000,0.000000,0.000000,0.625945
0.020000,1.293471,4.405802,1.380000,1.000000,0.000000,0.000000,0.635040
0.020000,1.309518,4.417738,1.400000,1.000000,0.000000,0.000000,0.644052
0.020000,1.325458,4.429819,1.420000,1.000000,0.000000,0.000000,0.652978
0.020000,1.341289,4.442040,1.440000,1.000000,0.000000,0.000000,0.661816
0.020000,1.357013,4.454400,1.460000,1.000000,0.000000,0.000000,0.670563
0.020000,1.372628,4.466896,1.480000,1.000000,0.000000,0.000000,0.679217
0.020000,1.388136,4.479526,1.500000,1.000000,0.000000,0.000000,0.687776
0.020000,1.403535,4.492288,1.520000,1.000000,0.000000,0.000000,0.696240
