dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003624,23.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014735,23.000000,0.014815,0.296296,2.962963,0.000000,0.000000
0.050000,0.033253,23.000000,0.033333,0.444444,2.962963,0.000000,0.000000
0.050000,0.059179,23.000000,0.059259,0.592593,2.962963,0.000000,0.000000
0.050000,0.092513,23.000000,0.092593,0.740741,2.962963,0.000000,0.000000
0.050000,0.133253,23.000000,0.133333,0.888889,2.962963,0.000000,0.000000
0.050000,0.181401,23.000000,0.181481,1.037037,2.962963,0.000000,0.000000
0.050000,0.236957,23.000000,0.237037,1.185185,2.962963,0.000000,0.000000
0.050000,0.299920,23.000000,0.300000,1.333333,2.962963,0.000000,0.000000
0.050000,0.370290,23.000000,0.370370,1.481481,2.962963,0.000000,0.000000
0.050000,0.448068,23.000000,0.448148,1.629630,2.962963,0.000000,0.000000
0.050000,0.533253,23.000000,0.533333,1.777778,2.962963,0.000000,0.000000
0.050000,0.625846,23.000000,0.625926,1.925926,2.962963,0.000000,0.000000
0.050000,0.725846,23.000000,0.725926,2.074074,2.962963,0.000000,0.000000
0.050000,0.833253,23.000000,0.833333,2.222222,2.962963,0.000000,0.000000
0.050000,0.948068,23.000000,0.948148,2.370370,2.962963,-0.000000,0.000000
0.050000,1.070290,23.000000,1.070370,2.518519,2.962963,0.000000,0.000000
0.050000,1.199920,23.000000,1.200000,2.666667,2.962963,-0.000000,0.000000
0.050000,1.336957,23.000000,1.337037,2.814815,2.962963,0.000000,0.000000
0.050000,1.481401,23.000000,1.481481,2.962963,2.962963,-0.000000,0.000000
0.050000,1.633253,23.000000,1.633333,3.111111,2.962963,0.000000,0.000000
0.050000,1.792513,23.000000,1.792593,3.259259,2.962963,-0.000000,0.000000
0.050000,1.959179,23.000000,1.959259,3.407407,2.962963,0.000000,0.000000
0.050000,2.133253,23.000000,2.133333,3.555556,2.962963,-0.000000,0.000000
0.050000,2.314735,23.000000,2.314815,3.703704,2.962963,0.000000,0.000000
0.050000,2.503624,23.000000,2.503704,3.851852,2.962963,-0.000000,0.000000
0.050000,2.699920,23.000000,2.700000,4.000000,2.962963,0.000000,0.000000
0.050000,2.899920,23.000000,2.900000,4.000000,0.000000,-59.259259,0.000000
0.050000,3.099920,23.000000,3.100000,4.000000,0.000000,0.000000,0.000000
0.050000,3.299920,23.000000,3.300000,4.000000,0.000000,0.000000,0.000000
0.050000,3.499920,23.000000,3.500000,4.000000,0.000000,0.000000,0.000000
0.050000,3.699920,23.000000,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,3.899920,23.000000,3.900000,4.000000,0.000000,0.000000,0.000000
0.050000,4.099920,23.000000,4.100000,4.000000,0.000000,0.000000,0.000000
0.050000,4.299920,23.000000,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499920,23.000000,4.500000,4.000000,0.000000,0.000000,0.000000
0.050000,4.699920,23.000000,4.700000,4.000000,0.000000,0.000000,0.000000
0.050000,4.899920,23.000000,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,5.099920,23.000000,5.100000,4.000000,0.000000,0.000000,0.000000
0.050000,5.299920,23.000000,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,5.499920,23.000000,5.500000,4.000000,0.000000,0.000000,0.000000
0.050000,5.699920,23.000000,5.700000,4.000000,0.000000,0.000000,0.000000
0.050000,5.899920,23.000000,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,6.099920,23.000000,6.100000,4.000000,0.000000,0.000000,0.000000
0.050000,6.299920,23.000000,6.300000,4.000000,0.000000,0.000000,0.000000
0.050000,6.499920,23.000000,6.500000,4.000000,0.000000,0.000000,0.000000
0.050000,6.699920,23.000000,6.700000,4.000000,0.000000,0.000000,0.000000
0.050000,6.899920,23.000000,6.900000,4.000000,0.000000,0.000000,0.000000
0.050000,7.099920,23.000000,7.100000,4.000000,0.000000,0.000000,0.000000
0.050000,7.299920,23.000000,7.300000,4.000000,0.000000,0.000000,0.000000
0.050000,7.499920,23.000000,7.500000,4.000000,0.000000,0.000000,0.000000
0.050000,7.699920,23.000000,7.700000,4.000000,0.000000,0.000000,0.000000
0.050000,7.899920,23.000000,7.900000,4.000000,0.000000,0.000000,0.000000
0.050000,8.099838,23.001031,8.100000,4.000000,0.000000,0.000000,0.020345
0.050000,8.299678,23.008752,8.300000,4.000000,0.000000,0.000000,0.055757
0.050000,8.499170,23.022898,8.500000,4.000000,0.000000,0.000000,0.084842
