dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003614,5.150000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014725,5.150000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033243,5.150000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059169,5.150000,0.059259,0.518519,2.962963,0.000000,0.000000
0.050000,0.092503,5.150000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133243,5.150000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181391,5.150000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236947,5.150000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299910,5.150000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.370280,5.150000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448058,5.150000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533243,5.150000,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,0.625836,5.150000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725836,5.150000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833243,5.150000,0.833333,2.148148,2.962963,-0.000000,0.000000
0.050000,0.948058,5.150000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.070280,5.150000,1.070370,2.444444,2.962963,0.000000,0.000000
0.050000,1.199910,5.150000,1.200000,2.592593,2.962963,-0.000000,0.000000
0.050000,1.336947,5.150000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481391,5.150000,1.481481,2.888889,2.962963,0.000000,0.000000
0.050000,1.633243,5.150000,1.633333,3.037037,2.962963,-0.000000,0.000000
0.050000,1.792503,5.150000,1.792593,3.185185,2.962963,0.000000,0.000000
0.050000,1.959169,5.150000,1.959259,3.333333,2.962963,-0.000000,0.000000
0.050000,2.133243,5.150000,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,2.314725,5.150000,2.314815,3.629630,2.962963,-0.000000,0.000000
0.050000,2.503614,5.150000,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,2.699910,5.150000,2.700000,3.925926,2.962963,-0.000000,0.000000
0.050000,2.899910,5.150000,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099910,5.150000,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299910,5.150000,3.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,3.499910,5.150000,3.500000,4.000000,0.000000,0.000000,0.000000
0.050000,3.699910,5.150000,3.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.899910,5.150000,3.900000,4.000000,0.000000,0.000000,0.000000
0.050000,4.099910,5.150000,4.100000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.299910,5.150000,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499910,5.150000,4.500000,4.000000,0.000000,0.000000,0.000000
0.050000,4.699910,5.150000,4.700000,4.000000,0.000000,0.000000,0.000000
0.050000,4.899910,5.150000,4.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.099910,5.150000,5.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.299910,5.150000,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,5.499910,5.150000,5.500000,4.000000,0.000000,0.000000,0.000000
0.050000,5.699910,5.150000,5.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.899910,5.150000,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,6.099910,5.150000,6.100000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.299910,5.150000,6.300000,4.000000,0.000000,0.000000,0.000000
0.050000,6.499910,5.150000,6.500000,4.000000,0.000000,0.000000,0.000000
0.050000,6.699910,5.150000,6.700000,4.000000,0.000000,0.000000,0.000000
0.050000,6.899910,5.150000,6.900000,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.099910,5.150000,7.100000,4.000000,0.000000,0.000000,0.000000
0.050000,7.299910,5.150000,7.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.499910,5.150000,7.500000,4.000000,0.000000,0.000000,0.000000
0.050000,7.699910,5.150000,7.700000,4.000000,0.000000,0.000000,0.000000
0.050000,7.899910,5.150000,7.900000,4.000000,0.000000,0.000000,0.000000
0.050000,8.099910,5.150000,8.100000,4.000000,0.000000,0.000000,0.000000
0.050000,8.299910,5.150000,8.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.499910,5.150000,8.500000,4.000000,0.000000,0.000000,0.000000
0.050000,8.699910,5.150000,8.700000,4.000000,0.000000,0.000000,0.000000
0.050000,8.899910,5.150000,8.900000,4.000000,0.000000,0.000000,0.000000
0.050000,9.110751,5.149465,9.110842,4.216843,4.336869,86.737385,6.273697
0.050000,9.328696,5.145620,9.328821,4.359574,2.854615,-29.645081,6.258062
0.050000,9.541764,5.138978,9.541992,4.263421,-1.923074,-95.553782,6.246608
0.050000,9.750280,5.130495,9.750681,4.173777,-1.792873,2.604010,6.239052
0.050000,9.954479,5.121023,9.955099,4.088373,-1.708080,1.695860,6.235209
0.050000,10.154500,5.111337,10.155355,4.005105,-1.665362,0.854370,6.234987
0.050000,10.350383,5.102161,10.351452,3.921956,-1.662984,0.047556,6.238380
0.050000,10.542063,5.094185,10.543298,3.836913,-1.700854,-0.757400,6.245471
0.050000,10.729358,5.088079,10.730692,3.747887,-1.780522,-1.593368,6.256432
0.050000,10.911954,5.084501,10.913324,3.652629,-1.905151,-2.492574,6.271533
0.050000,11.089387,5.084095,11.090757,3.548660,-2.079385,-3.484686,0.007969
0.050000,11.261014,5.087489,11.262417,3.433211,-2.308979,-4.591877,0.032608
0.050000,11.425991,5.095273,11.427578,3.303217,-2.599870,-5.817813,0.062897
0.050000,11.583250,5.107964,11.585349,3.155410,-2.956143,-7.125459,0.099611
0.050000,11.731493,5.125954,11.734679,2.986613,-3.375947,-8.396081,0.143661
0.050000,11.869228,5.149427,11.874400,2.794413,-3.843990,-9.360863,0.196064
0.050000,11.994881,5.178276,12.003323,2.578452,-4.319236,-9.504921,0.257852
0.050000,12.107038,5.212035,12.120450,2.342542,-4.718186,-7.978996,0.329894
0.050000,12.204834,5.249916,12.225326,2.097527,-4.900308,-3.642440,0.412584
0.050000,12.288448,5.291062,12.318516,1.863793,-4.674669,4.512774,0.505434
0.050000,12.359469,5.335061,12.402061,1.670905,-3.857767,16.338051,0.606667
0.050000,12.420781,5.382567,12.479624,1.551257,-2.392957,29.296194,0.713103
0.050000,12.474817,5.434556,12.554609,1.499707,-1.031008,27.238976,0.818608
0.050000,12.523566,5.492209,12.630109,1.510004,0.205936,24.738888,0.917277
0.050000,12.568587,5.556952,12.708967,1.577152,1.342959,22.740450,1.006590
0.050000,12.610240,5.629116,12.792289,1.666448,1.785923,8.859278,1.085582
0.050000,12.648315,5.707994,12.879876,1.751732,1.705694,-1.604580,1.154429
0.050000,12.682514,5.792215,12.970777,1.818014,1.325628,-7.601306,1.213957
0.050000,12.712679,5.880141,13.063732,1.859109,0.821909,-10.074376,1.265259
0.050000,12.738836,5.970129,13.157445,1.874262,0.303048,-10.377229,1.309463
0.050000,12.761173,6.060687,13.250718,1.865450,-0.176240,-9.585758,1.347611
0.050000,12.779979,6.150526,13.342503,1.835710,-0.594786,-8.370920,1.380613
0.050000,12.795600,6.238563,13.431916,1.788246,-0.949286,-7.090006,1.409237
0.050000,12.808403,6.323909,13.518216,1.726015,-1.244618,-5.906637,1.434127
0.050000,12.818754,6.405837,13.600796,1.651585,-1.488594,-4.879528,1.455812
0.050000,12.826997,6.483758,13.679151,1.567115,-1.689411,-4.016333,1.474729
0.050000,12.833455,6.557194,13.752871,1.474388,-1.854546,-3.302702,1.491236
