dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003614,2.850000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014725,2.850000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033243,2.850000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059169,2.850000,0.059259,0.518519,2.962963,0.000000,0.000000
0.050000,0.092503,2.850000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133243,2.850000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181391,2.850000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236947,2.850000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299910,2.850000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.370280,2.850000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448058,2.850000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533243,2.850000,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,0.625836,2.850000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725836,2.850000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833243,2.850000,0.833333,2.148148,2.962963,-0.000000,0.000000
0.050000,0.948058,2.850000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.070280,2.850000,1.070370,2.444444,2.962963,0.000000,0.000000
0.050000,1.199910,2.850000,1.200000,2.592593,2.962963,-0.000000,0.000000
0.050000,1.336947,2.850000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481391,2.850000,1.481481,2.888889,2.962963,0.000000,0.000000
0.050000,1.633243,2.850000,1.633333,3.037037,2.962963,-0.000000,0.000000
0.050000,1.792503,2.850000,1.792593,3.185185,2.962963,0.000000,0.000000
0.050000,1.959169,2.850000,1.959259,3.333333,2.962963,-0.000000,0.000000
0.050000,2.133243,2.850000,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,2.314725,2.850000,2.314815,3.629630,2.962963,-0.000000,0.000000
0.050000,2.503614,2.850000,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,2.699910,2.850000,2.700000,3.925926,2.962963,-0.000000,0.000000
0.050000,2.899910,2.850000,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099910,2.850000,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299910,2.850000,3.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,3.499910,2.850000,3.500000,4.000000,0.000000,0.000000,0.000000
0.050000,3.699910,2.850000,3.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.899910,2.850000,3.900000,4.000000,0.000000,0.000000,0.000000
0.050000,4.099910,2.850000,4.100000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.299910,2.850000,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499910,2.850000,4.500000,4.000000,0.000000,0.000000,0.000000
0.050000,4.699910,2.850000,4.700000,4.000000,0.000000,0.000000,0.000000
0.050000,4.899910,2.850000,4.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.099910,2.850000,5.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.299910,2.850000,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,5.499910,2.850000,5.500000,4.000000,0.000000,0.000000,0.000000
0.050000,5.699910,2.850000,5.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.899910,2.850000,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,6.099910,2.850000,6.100000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.299910,2.850000,6.300000,4.000000,0.000000,0.000000,0.000000
0.050000,6.499910,2.850000,6.500000,4.000000,0.000000,0.000000,0.000000
0.050000,6.699910,2.850000,6.700000,4.000000,0.000000,0.000000,0.000000
0.050000,6.899910,2.850000,6.900000,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.099910,2.850000,7.100000,4.000000,0.000000,0.000000,0.000000
0.050000,7.299910,2.850000,7.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.499910,2.850000,7.500000,4.000000,0.000000,0.000000,0.000000
0.050000,7.699910,2.850000,7.700000,4.000000,0.000000,0.000000,0.000000
0.050000,7.899910,2.850000,7.900000,4.000000,0.000000,0.000000,0.000000
0.050000,8.099910,2.850000,8.100000,4.000000,0.000000,0.000000,0.000000
0.050000,8.299910,2.850000,8.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.499910,2.850000,8.500000,4.000000,0.000000,0.000000,0.000000
0.050000,8.699910,2.850000,8.700000,4.000000,0.000000,0.000000,0.000000
0.050000,8.899910,2.850000,8.900000,4.000000,0.000000,0.000000,0.000000
0.050000,9.088929,2.849568,9.089020,3.780398,-4.392036,-87.840724,6.273697
0.050000,9.270918,2.846346,9.271037,3.640344,-2.801079,31.819147,6.258062
0.050000,9.457654,2.840516,9.457864,3.736536,1.923829,94.498151,6.246608
0.050000,9.648806,2.832735,9.649174,3.826204,1.793367,-2.609231,6.239052
0.050000,9.844177,2.823670,9.844755,3.911622,1.708362,-1.700094,6.235209
0.050000,10.043688,2.814008,10.044500,3.994895,1.665460,-0.858050,6.234987
0.050000,10.247366,2.804469,10.248402,4.078041,1.662908,-0.051045,6.238380
0.050000,10.455340,2.795821,10.456556,4.163070,1.700596,0.753762,6.245471
0.050000,10.667831,2.788902,10.669159,4.252073,1.780057,1.589223,6.256432
0.050000,10.885155,2.784657,10.886524,4.347295,1.904432,2.487502,6.271533
0.050000,11.107715,2.784168,11.109085,4.451212,2.078340,3.478156,0.007969
0.050000,11.335999,2.788712,11.337414,4.566587,2.307500,4.583193,0.032608
0.050000,11.570560,2.799821,11.572238,4.696477,2.597802,5.806053,0.062897
0.050000,11.811977,2.819365,11.814445,4.844141,2.953275,7.109458,0.099611
0.050000,12.060778,2.849647,12.065082,5.012741,3.371999,8.374485,0.143661
0.050000,12.317291,2.893493,12.325315,5.204672,3.838622,9.332445,0.196064
0.050000,12.581392,2.954315,12.596329,5.420276,4.312093,9.469432,0.257852
0.050000,12.852106,3.036059,12.879116,5.655728,4.709038,7.938893,0.329894
0.050000,13.127083,3.142915,13.174125,5.900194,4.889315,3.605543,0.412584
0.050000,13.402078,3.278644,13.480792,6.133332,4.662759,-4.531122,0.505434
0.050000,13.670774,3.445490,13.797076,6.325676,3.846883,-16.317518,0.606667
0.050000,13.925403,3.642994,14.119324,6.444962,2.385723,-29.223200,0.713103
0.050000,14.154267,3.863109,14.436860,6.350725,-1.884738,-85.409218,0.818608
0.050000,14.349649,4.093846,14.739207,6.046937,-6.075758,-83.820404,0.917277
0.050000,14.512117,4.327037,15.023414,5.684147,-7.255803,-23.600894,1.006590
